applicant_id,age,income,employment_years,loan_amount,loan_term_months,credit_history,existing_debts,num_credit_lines,missed_payments,default
APP0091,44,54347,4,18716,36,1,317,4,1,0
APP0092,37,68325,10,10108,24,1,340,1,0,0
APP0093,24,32215,5,53845,36,0,998,2,4,1
APP0094,46,69113,10,11223,36,1,238,2,0,0
APP0095,37,20929,3,13957,60,0,2232,1,3,1
APP0096,41,31769,4,16729,36,0,362,4,1,1
APP0097,36,45981,10,21621,24,1,388,2,3,0
APP0098,18,37153,0,32285,60,0,1825,2,6,1
APP0099,39,52492,5,11786,24,0,483,5,4,0
APP0100,24,35092,0,41012,36,0,983,3,1,0
APP0101,45,51054,7,20217,36,1,386,5,0,0
APP0102,35,62785,3,33274,24,0,1159,2,3,0
APP0103,54,72157,8,13591,24,1,165,3,0,0
APP0104,18,18340,0,43191,48,0,1333,1,4,1
APP0105,29,31939,2,64463,60,0,1144,1,1,0
APP0106,23,37512,4,28151,48,0,1067,2,2,1
APP0107,60,94067,6,15823,12,1,263,6,0,0
APP0108,44,85016,12,25051,36,1,282,3,0,0
APP0109,43,38591,2,21933,36,0,838,0,0,1
APP0110,41,97825,20,12345,36,1,251,7,0,0
APP0111,20,55550,5,24444,48,1,886,3,3,0
APP0112,50,102975,7,17402,12,1,262,3,0,0
APP0113,38,45279,5,32227,24,0,738,3,1,0
APP0114,47,112448,8,16095,36,1,324,8,1,1
APP0115,46,82799,8,15970,36,1,407,2,0,0
APP0116,18,35720,1,36533,48,0,1546,1,0,1
APP0117,54,79013,7,24405,12,1,155,1,0,1
APP0118,32,35898,4,50726,36,0,1311,0,4,1
APP0119,34,52920,4,24816,48,0,449,5,3,0
APP0120,44,86851,12,17238,24,1,364,7,0,0
APP0121,51,87371,5,14751,24,1,337,3,0,0
APP0122,41,58538,10,11594,36,1,384,3,0,0
APP0123,26,27796,1,26742,48,0,2388,1,4,1
APP0124,21,27618,1,21099,36,0,2001,2,1,1
APP0125,43,49373,9,11590,12,1,199,4,0,1
APP0126,49,89349,8,12775,24,1,327,3,0,0
APP0127,28,22824,3,39721,48,0,1758,2,2,1
APP0128,36,61401,4,32538,48,0,780,7,1,0
APP0129,20,23765,3,48551,36,0,2586,1,5,1
APP0130,37,83173,14,14446,24,1,393,6,0,0
APP0131,22,32427,5,30376,36,1,1036,2,3,1
APP0132,47,56354,15,21900,12,1,237,5,0,0
APP0133,44,75627,3,14747,24,1,284,7,0,0
APP0134,51,53904,8,9401,24,1,170,7,0,0
APP0135,18,25820,0,38050,48,0,1296,3,3,1
APP0136,33,37780,4,33925,48,0,1545,3,2,1
APP0137,41,79441,12,15259,24,1,373,4,0,0
APP0138,29,50111,5,25620,24,0,673,5,1,0
APP0139,26,54840,2,27154,48,1,755,1,2,0
APP0140,34,31965,2,39379,36,0,2361,1,2,1
APP0141,29,31593,0,43020,36,0,964,3,2,1
APP0142,27,30630,2,40063,48,0,2045,2,5,0
APP0143,25,39005,1,36506,60,0,1330,2,2,1
APP0144,21,40420,0,31357,60,0,882,1,1,1
APP0145,45,68407,0,16536,36,0,711,5,1,1
APP0146,23,31606,9,7407,48,1,1165,4,4,1
APP0147,48,84217,10,14687,36,1,224,4,0,1
APP0148,21,20125,3,27590,48,0,635,2,3,1
APP0149,33,48089,2,26408,36,1,1069,3,0,0
APP0150,29,86607,9,17762,24,1,322,7,0,0
APP0151,39,51670,8,25071,48,0,643,3,0,1
APP0152,20,70994,1,16456,36,0,556,4,1,0
APP0153,36,84184,6,25725,24,1,181,5,0,0
APP0154,25,31628,4,54480,60,0,785,2,4,1
APP0155,26,69669,10,17571,36,0,813,6,0,0
APP0156,20,22309,0,32629,36,0,1096,2,5,1
APP0157,23,35198,7,37572,48,1,647,6,0,0
APP0158,46,81140,12,10396,36,1,316,2,0,0
APP0159,54,75398,15,8927,12,1,246,2,0,0
APP0160,51,82125,19,16966,24,1,319,4,0,0
APP0161,46,88735,5,10551,24,1,229,4,1,0
APP0162,22,15191,6,21422,60,0,1734,2,5,0
APP0163,24,37330,3,42195,48,0,1197,1,2,1
APP0164,42,79863,14,17373,12,1,297,6,0,0
APP0165,36,87945,2,15319,12,1,262,3,0,0
APP0166,42,87945,9,17432,12,1,306,1,0,0
APP0167,29,21653,3,19610,60,0,1013,2,1,1
APP0168,23,27498,0,30068,36,0,1253,1,2,1
APP0169,43,80045,11,20953,24,1,394,2,0,0
APP0170,24,47492,4,29914,48,1,598,0,1,1
APP0171,43,59146,4,20605,48,1,621,2,0,1
APP0172,24,31134,0,37200,48,0,1393,2,2,1
APP0173,19,27679,4,24645,48,0,478,1,6,1
APP0174,37,107390,12,12560,36,1,515,3,0,0
APP0175,29,34395,0,37020,48,0,923,2,3,1
APP0176,37,44542,2,32390,36,0,503,0,2,1
APP0177,51,90784,13,11216,24,1,157,8,0,0
APP0178,29,20595,3,49695,36,0,1166,2,7,0
APP0179,35,85388,12,13948,24,1,240,2,0,0
APP0180,42,19174,1,31678,36,0,1522,2,5,0
APP0181,32,69288,6,27879,36,1,832,5,0,0
APP0182,44,80454,9,14570,24,1,381,6,0,0
APP0183,36,28170,2,55426,60,0,1496,4,5,0
APP0184,27,18205,1,24793,48,0,1167,2,3,1
APP0185,46,42682,4,22117,36,1,543,4,1,1
APP0186,26,44750,7,19017,48,0,1045,2,2,0
APP0187,51,40989,8,17416,36,1,736,1,1,0
APP0188,36,41744,10,37092,48,1,1026,4,1,1
APP0189,34,65748,8,16805,24,0,889,4,1,1
APP0190,24,20911,0,33377,60,0,1592,0,7,1
APP0191,51,75436,14,5313,36,1,174,5,0,0
APP0192,36,28778,5,20819,24,0,606,0,2,0
APP0193,33,66685,1,21586,24,1,741,2,1,0
APP0194,44,59337,6,13217,36,1,779,1,2,0
APP0195,41,76944,6,10865,24,1,277,5,0,0
APP0196,25,40544,0,34831,36,0,1440,0,3,1
APP0197,37,51047,7,22773,24,0,678,1,0,1
APP0198,33,17965,2,18721,36,0,1586,1,2,1
APP0199,38,71872,12,12752,12,1,401,10,0,0
APP0200,31,33544,2,30595,36,0,1068,2,2,0
